Sample Read Subtype NumSamplesSequenced BpSequenced NumVariants Study
746-V10 R1R2 pdmH1N1 54 13158 11 flu-Poon
779-V10 R2 pdmH1N1 54 13158 41 flu-Poon
725-V10 R2 H3N2 46 13550 129 flu-Poon
693-V10 R2 pdmH1N1 54 13158 46 flu-Poon
739-V23 R2 H3N2 46 13550 117 flu-Poon
763-V23 R2 H3N2 46 13550 123 flu-Poon
698-V20 R1 pdmH1N1 54 13158 0 flu-Poon
683-V20 R2 pdmH1N1 54 13158 34 flu-Poon
708-V10 R1R2 pdmH1N1 54 13158 14 flu-Poon
756-V10 R1R2 H3N2 46 13550 104 flu-Poon
693-V10 R1 pdmH1N1 54 13158 10 flu-Poon
736-V10 R1R2 H3N2 46 13550 45 flu-Poon
720-V20 R1 H3N2 46 13550 1 flu-Poon
758-V10 R1 pdmH1N1 54 13158 4 flu-Poon
765-V10 R1 pdmH1N1 54 13158 1 flu-Poon
779-V21 R1R2 pdmH1N1 54 13158 28 flu-Poon
741-V10 R1R2 H3N2 46 13550 45 flu-Poon
747-V10 R1R2 H3N2 46 13550 57 flu-Poon
708-V10 R2 pdmH1N1 54 13158 27 flu-Poon
689-V20 R2 H3N2 46 13550 108 flu-Poon
720-V31 R1R2 H3N2 46 13550 114 flu-Poon
720-V21 R2 H3N2 46 13550 106 flu-Poon
663-V10 R2 pdmH1N1 54 13158 39 flu-Poon
747-V22 R1 H3N2 46 13550 0 flu-Poon
712-V10 R1 pdmH1N1 54 13158 1 flu-Poon
667-V23 R2 pdmH1N1 54 13158 30 flu-Poon
756-V10 R1 H3N2 46 13550 0 flu-Poon
689-V10 R1 H3N2 46 13550 1 flu-Poon
757-V10 R1R2 pdmH1N1 54 13158 26 flu-Poon
734-V20 R1 H3N2 46 13550 0 flu-Poon
774-V10 R1R2 pdmH1N1 54 13158 18 flu-Poon
683-V10 R1R2 pdmH1N1 54 13158 16 flu-Poon
726-V10 R2 H3N2 46 13550 101 flu-Poon
672-V10 R1 H3N2 46 13550 0 flu-Poon
688-V10 R1 H3N2 46 13550 2 flu-Poon
692-V10 R1 H3N2 46 13550 2 flu-Poon
704-V10 R1R2 pdmH1N1 54 13158 21 flu-Poon
684-V23 R2 pdmH1N1 54 13158 38 flu-Poon
765-V10 R2 pdmH1N1 54 13158 40 flu-Poon
781-V10 R1 H3N2 46 13550 1 flu-Poon
779-V10 R1R2 pdmH1N1 54 13158 24 flu-Poon
738-V10 R2 pdmH1N1 54 13158 35 flu-Poon
669-V10 R2 H3N2 46 13550 139 flu-Poon
707-V10 R1 H3N2 46 13550 2 flu-Poon
720-V31 R2 H3N2 46 13550 110 flu-Poon
698-V10 R1 pdmH1N1 54 13158 0 flu-Poon
688-V10 R2 H3N2 46 13550 134 flu-Poon
703-V10 R1 H3N2 46 13550 0 flu-Poon
683-V20 R1R2 pdmH1N1 54 13158 20 flu-Poon
678-V10 R1R2 pdmH1N1 54 13158 16 flu-Poon
729-V10 R2 H3N2 46 13550 112 flu-Poon
681-V10 R2 pdmH1N1 54 13158 45 flu-Poon
755-V31 R1R2 H3N2 46 13550 48 flu-Poon
787-V10 R2 pdmH1N1 54 13158 42 flu-Poon
725-V10 R1R2 H3N2 46 13550 52 flu-Poon
669-V10 R1 H3N2 46 13550 0 flu-Poon
763-V10 R1 H3N2 46 13550 0 flu-Poon
698-V10 R1R2 pdmH1N1 54 13158 21 flu-Poon
751-V20 R1R2 pdmH1N1 54 13158 7 flu-Poon
667-V10 R1 pdmH1N1 54 13158 2 flu-Poon
